HG02973 	AFR 
HG02974 	AFR 
HG03099 	AFR 
HG03100 	AFR 
HG03120 	AFR 
HG03121 	AFR 
HG03129 	AFR 
HG03130 	AFR 
HG03168 	AFR 
HG03169 	AFR 
HG03300 	AFR 
HG03301 	AFR 
HG03306 	AFR 
HG03307 	AFR 
HG03520 	AFR 
HG03521 	AFR 
HG02561 	AFR 
HG02562 	AFR 
HG02620 	AFR 
HG02621 	AFR 
HG02721 	AFR 
HG02722 	AFR 
HG02768 	AFR 
HG02769 	AFR 
HG02771 	AFR 
HG02772 	AFR 
HG02851 	AFR 
HG02852 	AFR 
HG02982 	AFR 
HG02983 	AFR 
HG03039 	AFR 
HG03040 	AFR 
HG03246 	AFR 
HG03247 	AFR 
HG03063 	AFR 
HG03064 	AFR 
HG03069 	AFR 
HG03096 	AFR 
HG03097 	AFR 
HG03445 	AFR 
HG03451 	AFR 
HG03452 	AFR 
HG03484 	AFR 
HG03485 	AFR 
HG03574 	AFR 
HG03575 	AFR 
HG03577 	AFR 
HG03578 	AFR 
HG03582 	AFR 
HG03583 	AFR 
HG00844 	EAS 
HG00881 	EAS 
HG00982 	EAS 
HG02356 	EAS 
HG02372 	EAS 
HG02373 	EAS 
HG02374 	EAS 
HG02375 	EAS 
HG02381 	EAS 
HG02383 	EAS 
HG02384 	EAS 
HG02385 	EAS 
HG02386 	EAS 
HG02388 	EAS 
HG02391 	EAS 
HG02409 	EAS 
HG00448 	EAS 
HG00449 	EAS 
HG00583 	EAS 
HG00584 	EAS 
HG00595 	EAS 
HG00596 	EAS 
HG00610 	EAS 
HG00611 	EAS 
HG00613 	EAS 
HG00614 	EAS 
HG00650 	EAS 
HG00651 	EAS 
HG00656 	EAS 
HG00657 	EAS 
HG00662 	EAS 
HG00663 	EAS 
HG00683 	EAS 
HG00684 	EAS 
HG02016 	EAS 
HG02017 	EAS 
HG02069 	EAS 
HG02070 	EAS 
HG02072 	EAS 
HG02073 	EAS 
HG02075 	EAS 
HG02076 	EAS 
HG02130 	EAS 
HG02131 	EAS 
HG02512 	EAS 
HG02513 	EAS 
HG02521 	EAS 
HG02522 	EAS 
HG02524 	EAS 
HG02525 	EAS 
HG00181 	EUR 
HG00185 	EUR 
HG00190 	EUR 
HG00267 	EUR 
HG00273 	EUR 
HG00277 	EUR 
HG00280 	EUR 
HG00284 	EUR 
HG00351 	EUR 
HG00358 	EUR 
HG00366 	EUR 
HG00369 	EUR 
HG00371 	EUR 
HG00372 	EUR 
HG00096 	EUR 
HG00098 	EUR 
HG00101 	EUR 
HG00103 	EUR 
HG00107 	EUR 
HG00108 	EUR 
HG00109 	EUR 
HG00115 	EUR 
HG00116 	EUR 
HG00117 	EUR 
HG00119 	EUR 
HG00131 	EUR 
HG00136 	EUR 
HG00139 	EUR 
HG00256 	EUR 
HG00264 	EUR 
HG01619 	EUR 
HG01620 	EUR 
HG01623 	EUR 
HG01624 	EUR 
HG01625 	EUR 
HG01626 	EUR 
HG01628 	EUR 
HG01630 	EUR 
HG01682 	EUR 
HG01684 	EUR 
HG01685 	EUR 
HG01686 	EUR 
HG01707 	EUR 
HG01708 	EUR 
HG01756 	EUR 
HG01757 	EUR 
HG01761 	EUR 
HG01762 	EUR 
HG01770 	EUR 
HG01771 	EUR 
